0,1
False	15	277.78125	264.5,b'10\r\n'
False	15	279.046875	267.25,b'10\r\n'
False	0	282.828125	0.0,b'10\r\n'
False	0	284.15625	0.0,b'10\r\n'
False	0	285.515625	0.0,b'10\r\n'
False	0	286.859375	0.0,b'10\r\n'
False	0	288.203125	0.0,b'10\r\n'
False	0	289.53125	0.0,b'10\r\n'
False	0	290.875	0.0,b'10\r\n'
False	0	292.21875	0.0,b'10\r\n'
False	0	293.546875	0.0,b'10\r\n'
False	0	294.890625	0.0,b'12\r\n'
False	0	296.234375	0.0,b'12\r\n'
False	0	297.578125	0.0,b'12\r\n'
False	0	298.921875	0.0,b'12\r\n'
False	15	300.265625	0.0,b'12\r\n'
False	15	294.46875	0.0,b'12\r\n'
False	15	295.796875	1620.0,b'12\r\n'
False	15	297.171875	1641.25,b'12\r\n'
False	0	305.625	0.0,b'12\r\n'
False	15	299.78125	0.0,b'12\r\n'
False	15	301.125	1728.75,b'12\r\n'
False	15	302.453125	1756.0,b'12\r\n'
False	15	303.828125	1788.5,b'12\r\n'
False	15	305.125	1824.5,b'12\r\n'
False	0	313.6875	0.0,b'12\r\n'
False	13	307.78125	0.0,b'14\r\n'
False	15	309.09375	1962.75,b'14\r\n'
False	15	310.4375	2004.0,b'14\r\n'
False	15	311.765625	2045.25,b'14\r\n'
False	0	320.375	0.0,b'14\r\n'
False	0	321.71875	0.0,b'14\r\n'
False	15	315.6875	0.0,b'14\r\n'
False	15	317.046875	0.0,b'14\r\n'
False	12	318.375	2378.75,b'14\r\n'
False	0	327.09375	0.0,b'14\r\n'
False	0	328.4375	0.0,b'14\r\n'
False	15	322.328125	0.0,b'14\r\n'
False	15	323.609375	2741.0,b'14\r\n'
False	15	324.984375	0.0,b'14\r\n'
False	0	333.78125	0.0,b'14\r\n'
False	15	327.671875	2624.5,b'16\r\n'
False	15	329.03125	2608.0,b'16\r\n'
False	15	330.359375	2650.75,b'16\r\n'
False	15	331.703125	2674.0,b'16\r\n'
False	15	333.046875	2645.25,b'16\r\n'
False	15	334.359375	2629.0,b'16\r\n'
False	15	335.734375	2614.5,b'16\r\n'
False	15	337.078125	2596.25,b'16\r\n'
False	15	338.40625	2588.25,b'16\r\n'
False	15	339.75	2580.0,b'16\r\n'
False	15	341.109375	2570.75,b'16\r\n'
False	15	342.421875	2568.5,b'16\r\n'
False	15	343.765625	2559.75,b'16\r\n'
False	15	345.09375	2552.25,b'16\r\n'
False	15	346.46875	2556.0,b'16\r\n'
False	15	347.734375	2553.5,b'18\r\n'
False	15	349.078125	2551.0,b'18\r\n'
False	15	350.4375	2557.0,b'18\r\n'
True	15	351.75	2565.5,b'18\r\n'
False	10	353.078125	2598.25,b'18\r\n'
False	15	354.390625	0.0,b'18\r\n'
False	15	355.71875	2821.5,b'18\r\n'
False	15	357.078125	2833.5,b'18\r\n'
False	12	358.40625	0.0,b'18\r\n'
False	15	359.734375	2676.25,b'18\r\n'
False	15	1.09375	2650.0,b'18\r\n'
False	15	2.421875	2673.0,b'18\r\n'
False	15	3.78125	2678.25,b'18\r\n'
False	15	5.125	2669.0,b'18\r\n'
False	15	6.4375	0.0,b'18\r\n'
False	15	7.765625	2786.5,b'20\r\n'
False	15	9.109375	2804.25,b'20\r\n'
False	15	10.421875	2835.75,b'20\r\n'
False	15	11.71875	2824.0,b'20\r\n'
False	15	13.0625	2816.75,b'20\r\n'
False	15	14.375	2856.0,b'20\r\n'
False	15	15.71875	2887.25,b'20\r\n'
False	15	17.03125	2920.0,b'20\r\n'
